simulation_id,winner_name,total_steps,final_civs,winner_resources,winner_tech,winner_weapon_investment,winner_search_investment,winner_camo_investment,winner_survival_drive,winner_known_civs,total_interactions,total_attacks,total_cooperations,avg_resource_pressure,max_resource_pressure
38,Sol,206,1,110.17933417622217,103.68847686620556,47.95314784402073,310.9926814492476,12.059460363719575,0.7,1,0,0,0,0.0015191862393914603,0.011353073885722717
39,Tau Ceti,270,1,1182.641665600027,21734.20374545728,418.12235703195194,1465.3041754596654,8.730193985692617,0.7,1,0,0,0,0.0020734699192271077,0.029133016419953597
40,,229,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0016043092088961193,0.012770868776738714
41,TRAPPIST-1,235,1,12.63361456480217,152.7986274416914,37.10300790179784,410.41993007138683,3.4779753524073063,0.7,0,0,0,0,0.0008974922740232737,0.008
42,Proxima B,273,1,158.17073920074813,1093.9006865572335,129.3785955627239,684.2627425577224,4.158936614760448,0.7,1,0,0,0,0.0022639287680782886,0.02618389063235368
43,Kepler-442,300,1,790.1647739637259,14038.497208833935,649.1446023210007,1471.3009336361065,12.431242481359718,0.7,2,0,0,0,0.00420822241104047,0.03699857183102741
44,Proxima B,309,1,594.3922540477741,9931.764348589746,409.1186014159834,1081.6685353296846,12.697795140770463,0.7,2,0,0,0,0.002802039260631855,0.023790879929435477
45,Epsilon Eridani,270,1,227.18982278615715,8982.432257081411,542.3113497927633,1196.4700979683216,8.244648388206555,0.7,2,0,0,0,0.0017223443591927394,0.009205379547123275
46,Sol,177,1,30.60934779667059,2727.3987052346934,153.82214268309704,485.65216619259206,12.308646075011346,0.7,3,0,0,0,0.0007915547216402774,0.008
47,Tau Ceti,295,1,196.06654442152262,2055.6322278444313,255.140622267312,713.3703402684228,2.590780170638069,0.7,2,0,0,0,0.010414820173630941,0.08890626226692867
48,Alpha Centauri,326,1,1759.8911586289717,46478.088863331905,1080.7013178859297,1242.0423202167462,4.372230373436211,0.7,2,0,0,0,0.0026640879421723027,0.03562860997344665
49,Barnard's Star,253,1,513.9562318607756,8187.304411024981,395.91907556886133,1273.5804364511214,5.726716427640064,0.7,3,0,0,0,0.0014953399050741322,0.009903720112632075
